AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);LATITUDE;LONGITUDE
KAUS;"AUSTIN; TEXAS";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 30.194499969482422;-97.6698989868164
KDFW;"DALLAS & FORT WORTH; TEXAS";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 32.896801;-97.038002
KJFK;"NEW YORK; NEW YORK";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 40.639801;-73.7789
KMCO;"ORLANDO; FLORIDA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 28.429399490356445;-81.30899810791016
KMIA;"MIAMI; FLORIDA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 25.79319953918457;-80.29060363769531
SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -15.869167;-47.920834
SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -19.62444305419922;-43.97194290161133
SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.8099994659;-43.2505569458
SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -23.435556411743164;-46.47305679321289
SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL; -8.126489639282227;-34.92359924316406
SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -12.9086112976;-38.3224983215
TJSJ;SAN JUAN;;;PORTO RICO;AMÉRICA CENTRAL; 18.4393997192;-66.0018005371
KPBI;"WEST PALM BEACH; FLORIDA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 26.68320083618164;-80.09559631347656
SVMI;"MAIQUETÍA; VARGAS (NEAR CARACAS)";;;VENEZUELA;AMÉRICA DO SUL; 10.601194;-66.991222
MDSD;SAO DOMINGO/DE LAS AMÉRICAS;;;REPÚBLICA DOMINICANA;AMÉRICA CENTRAL; 18.42970085144;-69.668899536133
KIAH;"HOUSTON; TEXAS";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 29.984399795532227;-95.34140014648438
MYNN;NASSAU/INTL NEW PROVIDENCE;;;BAHAMAS;AMÉRICA CENTRAL; 25.039;-77.466202
KEWR;"NEWARK & ELIZABETH; NEW JERSEY";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 40.692501068115234;-74.168701171875
KDAL;"DALLAS; TEXAS; ESTADOS UNIDOS DA AMÉRICA"; ; ;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 32.847099;-96.851799
KFLL;"FORT LAUDERDALE/HOLLYWOOD; FLORIDA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 26.072599;-80.152702
KBOS;"BOSTON; MASSACHUSETTS";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 42.36429977;-71.00520325
KPHL;"PHILADELPHIA; PENNSYLVANIA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 39.87189865112305;-75.24109649658203
SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -23.0074005127;-47.1344985962
SBRG;RIO GRANDE;RS;SUL;BRASIL;AMÉRICA DO SUL; -32.082562;-52.162776
SBLP;BOM JESUS DA LAPA;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -13.2621002197;-43.4081001282
SNGI;GUANAMBI;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -14.208200454711914;-42.74610137939453
CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE; 43.6772003174;-79.63059997559999
LEMD;MADRID;;;ESPANHA;EUROPA; 40.471926;-3.56264
GVAC;ILHA DO SAL;;;CABO VERDE;ÁFRICA; 16.7414;-22.9494
LIMC;MILAN;;;ITÁLIA;EUROPA; 45.6306;8.72811
LIRF;ROME;;;ITÁLIA;EUROPA; 41.8002778;12.2388889
SBFZ;FORTALEZA;CE;NORDESTE;BRASIL;AMÉRICA DO SUL; -3.776279926300049;-38.53260040283203
SBMO;RIO LARGO;AL;NORDESTE;BRASIL;AMÉRICA DO SUL; -9.510809898376465;-35.79169845581055
SBNT;PARNAMIRIM;RN;NORDESTE;BRASIL;AMÉRICA DO SUL; -5.91141986847;-35.2476997375
SBPS;PORTO SEGURO;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -16.438601;-39.080898
SBCB;CABO FRIO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.921699523900003;-42.074298858599995
LFPG;PARIS;;;FRANÇA;EUROPA; 49.012798;2.55
MMMX;MEXICO;;;MÉXICO;AMÉRICA DO NORTE; 19.4363;-99.072098
SABE;BUENOS AIRES;;;ARGENTINA;AMÉRICA DO SUL; -34.5592;-58.4156
SAEZ;"EZEIZA; BUENOS AIRES PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -34.8222;-58.5358
SBFL;FLORIANÓPOLIS;SC;SUL;BRASIL;AMÉRICA DO SUL; -27.670278549194336;-48.5525016784668
